route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_url
13,2,11,LA LAGUNA -> EL SAUZAL- POR C/EL CALVARIO DE TACORONTE,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-011
14,2,12,LA LAGUNA -> EL SAUZAL - POR ZONA CENTRO DE TACORONTE,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-012
15,2,14,SANTA CRUZ -> LA LAGUNA(POR LA CUESTA),3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-014
16,2,15,SANTA CRUZ - LA LAGUNA(Express),3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-015
17,2,18,LA LAGUNA -> AÑAZA -  POR CENTROS COMERCIALES,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-018
231,2,20,SANTA CRUZ - AEROPUERTO NORTE,3,FF8000,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-020
18,2,21,TACORONTE ->STA. CATALINA-> PLAYA MESA DEL MAR,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-021
19,2,23,TACORONTE -> EL PRIS - POR EL CALVARIO Y GUAYONJE,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-023
104,2,26,SANTA CRUZ-> LA LAGUNA (POR BARRIO LA SALUD Y FINCA ESPAÑA),3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-026
232,2,30,PUERTO DE LA CRUZ - AEROPUERTO NORTE,3,008000,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-030
181,2,32,FASNIA->PUNTA PRIETA -> LA SOMBRERA,3,000000,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-032
109,2,33,GÜIMAR -> FASNIA-> LA SOMBRERA,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-033
158,2,34,EL TABLADO -> GRANADILLA DE ABONA POR FASNIA Y ARICO,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-034
20,2,35,GÜIMAR -> GRANADILLA DE ABONA  POR FASNIA Y ARICO,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-035
159,2,36,GÜIMAR -> GRANADILLA DE ABONA POR TF1 Y LOS ROQUES,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-036
162,2,39,GÜIMAR -> GRANADILLA DE ABONA POR TF1 Y EL TABLADO,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-039
21,2,50,LA LAGUNA -> TEGUESTE -BAJAMAR- PUNTA DEL HIDALGO,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-050
22,2,51,< > 57  CIRCULAR LA LAGUNA -> TEJINA - TACORONTE- LA LAGUNA,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-051
23,2,52,LA LAGUNA -> LAS TOSCAS->POR EL SOCORRO,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-052
24,2,54,LA LAGUNA -> RAVELO ->POR AGUA GARCÍA,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-054
25,2,55,LA LAGUNA -> BCO.GRANDE- POR GENETO,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-055
26,2,56,LA LAGUNA -> BCO.GRANDE->POR LLANO DEL MORO,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-056
30,2,57,< > 51  CIRCULAR LA LAGUNA -> TEJINA - TACORONTE- LA LAGUNA,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-057
137,2,76,LA LAGUNA -> CARBONERAS -> AFUR,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-076
138,2,77,LA LAGUNA -> EL BAILADERO -> POR LAS MERCEDES,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-077
28,2,101,LA LAGUNA -> LA OROTAVA(POR CTRA.GENENERAL),3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-101
55,2,102,SANTA CRUZ -> PUERTO DE LA CRUZ(POR LAS ARENAS),3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-102
29,2,103,SANTA CRUZ -> PUERTO DE LA CRUZ(POR EL BOTÁNICO),3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-103
156,2,104,SANTA CRUZ -> PUERTO DE LA CRUZ (POR TACORONTE),3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-104
33,2,105,SANTA CRUZ -> PUNTA DEL HIDALGO-POR LA LAGUNA,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-105
122,2,106,SANTA CRUZ -> ICOD DE LOS VINOS(express),3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-106
57,2,108,SANTA CRUZ - OROTAVA - REALEJOS,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-108
34,2,110,SANTA CRUZ ->LOS CRISTIANOS-COSTA ADEJE(express),3,B02C31,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-110
100,2,111,SANTA CRUZ->AEROPUERTO SUR-LOS CRISTIANOS-COSTA ADEJE,3,00FF00,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-111
38,2,120,SANTA CRUZ -> GÜIMAR-POR CANDELARIA Y EL PUERTITO DE GÜIMAR,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-120
39,2,121,GÜIMAR->ARAFO->POLÍGONO DE GÜIMAR->CANDELARIA,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-121
40,2,122,SANTA CRUZ ->LAS CALETILLAS-> CANDELARIA Y POLÍGONO I.DE GÜIMAR,3,676767,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-122
