route_id,service_id,trip_id,trip_headsign
13,123465,3926866,LA MATANZA (T)
13,123465,3926867,LA MATANZA (T)
13,123465,3926868,INTERCAMBIADOR LAGUNA (T)
13,123465,3926869,INTERCAMBIADOR LAGUNA (T)
13,123465,3926870,LA MATANZA (T)
13,123465,3926871,INTERCAMBIADOR LAGUNA (T)
13,123465,3926872,LA MATANZA (T)
13,123465,3926873,INTERCAMBIADOR LAGUNA (T)
13,123465,3926874,LA MATANZA (T)
13,123465,3926875,INTERCAMBIADOR LAGUNA (T)
13,123465,3926876,INTERCAMBIADOR LAGUNA (T)
13,123465,3926877,LA MATANZA (T)
13,123465,3926878,LA MATANZA (T)
13,123465,3926879,INTERCAMBIADOR LAGUNA (T)
13,123465,3926880,INTERCAMBIADOR LAGUNA (T)
13,123465,3926881,LA MATANZA (T)
13,123465,3926882,LA MATANZA (T)
13,123465,3926883,INTERCAMBIADOR LAGUNA (T)
13,123465,3926884,INTERCAMBIADOR LAGUNA (T)
13,123465,3926885,LA MATANZA (T)
13,123465,3926886,INTERCAMBIADOR LAGUNA (T)
14,123469,3926960,LOS PERALES (T)
14,123469,3926961,INTERCAMBIADOR LAGUNA (T)
14,123469,3926962,LOS PERALES (T)
14,123469,3926963,INTERCAMBIADOR LAGUNA (T)
14,123469,3926964,LOS PERALES (T)
14,123469,3926965,LOS PERALES (T)
14,123469,3926966,LOS PERALES (T)
14,123469,3926967,INTERCAMBIADOR LAGUNA (T)
14,123469,3926968,INTERCAMBIADOR LAGUNA (T)
14,123469,3926969,LOS PERALES (T)
14,123469,3926970,LOS PERALES (T)
14,123469,3926971,INTERCAMBIADOR LAGUNA (T)
14,123469,3926972,INTERCAMBIADOR LAGUNA (T)
14,123469,3926973,LOS PERALES (T)
14,123469,3926974,LOS PERALES (T)
14,123469,3926975,INTERCAMBIADOR LAGUNA (T)
14,123469,3926976,INTERCAMBIADOR LAGUNA (T)
14,123469,3926977,LOS PERALES (T)
14,123469,3926978,INTERCAMBIADOR LAGUNA (T)
14,123469,3926979,LOS PERALES (T)
14,123469,3926980,LOS PERALES (T)
14,123469,3926981,INTERCAMBIADOR LAGUNA (T)
14,123469,3926982,INTERCAMBIADOR LAGUNA (T)
14,123469,3926983,LOS PERALES (T)
14,123469,3926984,LOS PERALES (T)
14,123469,3926985,LOS PERALES (T)
14,123469,3926986,INTERCAMBIADOR LAGUNA (T)
14,123469,3926987,INTERCAMBIADOR LAGUNA (T)
14,123469,3926988,INTERCAMBIADOR LAGUNA (T)
14,123469,3926989,LOS PERALES (T)
14,123469,3926990,INTERCAMBIADOR LAGUNA (T)
14,123469,3926991,LOS PERALES (T)
14,123469,3926992,INTERCAMBIADOR LAGUNA (T)
14,123469,3926993,LOS PERALES (T)
14,123469,3926994,INTERCAMBIADOR LAGUNA (T)
14,123469,3926995,LOS PERALES (T)
14,123469,3926996,INTERCAMBIADOR LAGUNA (T)
14,123469,3926997,LOS PERALES (T)
14,123469,3926998,LOS PERALES (T)
14,123469,3926999,INTERCAMBIADOR LAGUNA (T)
14,123469,3927000,INTERCAMBIADOR LAGUNA (T)
15,123473,3927576,INTERCAMBIADOR LAGUNA (T)
15,123473,3927577,INTERCAMBIADOR LAGUNA (T)
15,123473,3927578,INTERCAMBIADOR LAGUNA (T)
15,123473,3927579,INTERCAMBIADOR STA.CRUZ
15,123473,3927580,INTERCAMBIADOR STA.CRUZ
15,123473,3927581,INTERCAMBIADOR STA.CRUZ
15,123473,3927582,INTERCAMBIADOR LAGUNA (T)
15,123473,3927583,INTERCAMBIADOR LAGUNA (T)
15,123473,3927584,INTERCAMBIADOR LAGUNA (T)
15,123473,3927585,INTERCAMBIADOR LAGUNA (T)
15,123473,3927586,INTERCAMBIADOR STA.CRUZ
15,123473,3927587,INTERCAMBIADOR STA.CRUZ
15,123473,3927588,INTERCAMBIADOR STA.CRUZ
15,123473,3927589,INTERCAMBIADOR STA.CRUZ
15,123473,3927590,INTERCAMBIADOR LAGUNA (T)
15,123473,3927591,INTERCAMBIADOR LAGUNA (T)
15,123473,3927592,INTERCAMBIADOR LAGUNA (T)
15,123473,3927593,INTERCAMBIADOR LAGUNA (T)
15,123473,3927594,INTERCAMBIADOR STA.CRUZ
15,123473,3927595,INTERCAMBIADOR STA.CRUZ
15,123473,3927596,INTERCAMBIADOR STA.CRUZ
15,123473,3927597,INTERCAMBIADOR STA.CRUZ
15,123473,3927598,INTERCAMBIADOR LAGUNA (T)
15,123473,3927599,INTERCAMBIADOR LAGUNA (T)
15,123473,3927600,INTERCAMBIADOR LAGUNA (T)
15,123473,3927601,INTERCAMBIADOR LAGUNA (T)
15,123473,3927602,INTERCAMBIADOR LAGUNA (T)
15,123473,3927603,INTERCAMBIADOR STA.CRUZ
15,123473,3927604,INTERCAMBIADOR STA.CRUZ
15,123473,3927605,INTERCAMBIADOR STA.CRUZ
15,123473,3927606,INTERCAMBIADOR STA.CRUZ
15,123473,3927607,INTERCAMBIADOR LAGUNA (T)
15,123473,3927608,INTERCAMBIADOR LAGUNA (T)
15,123473,3927609,INTERCAMBIADOR LAGUNA (T)
15,123473,3927610,INTERCAMBIADOR LAGUNA (T)
15,123473,3927611,INTERCAMBIADOR STA.CRUZ
15,123473,3927612,INTERCAMBIADOR STA.CRUZ
15,123473,3927613,INTERCAMBIADOR STA.CRUZ
15,123473,3927614,INTERCAMBIADOR STA.CRUZ
15,123473,3927615,INTERCAMBIADOR LAGUNA (T)
15,123473,3927616,INTERCAMBIADOR LAGUNA (T)
15,123473,3927617,INTERCAMBIADOR LAGUNA (T)
15,123473,3927618,INTERCAMBIADOR LAGUNA (T)
15,123473,3927619,INTERCAMBIADOR STA.CRUZ
15,123473,3927620,INTERCAMBIADOR STA.CRUZ
15,123473,3927621,INTERCAMBIADOR STA.CRUZ
15,123473,3927622,INTERCAMBIADOR STA.CRUZ
15,123473,3927623,INTERCAMBIADOR LAGUNA (T)
15,123473,3927624,INTERCAMBIADOR LAGUNA (T)
15,123473,3927625,INTERCAMBIADOR LAGUNA (T)
15,123473,3927626,INTERCAMBIADOR STA.CRUZ
15,123473,3927627,INTERCAMBIADOR STA.CRUZ
15,123473,3927628,INTERCAMBIADOR STA.CRUZ
15,123473,3927629,INTERCAMBIADOR LAGUNA (T)
15,123473,3927630,INTERCAMBIADOR STA.CRUZ
15,123473,3927631,INTERCAMBIADOR LAGUNA (T)
15,123473,3927632,INTERCAMBIADOR LAGUNA (T)
15,123473,3927633,INTERCAMBIADOR LAGUNA (T)
15,123473,3927634,INTERCAMBIADOR LAGUNA (T)
15,123473,3927635,INTERCAMBIADOR STA.CRUZ
15,123473,3927636,INTERCAMBIADOR STA.CRUZ
15,123473,3927637,INTERCAMBIADOR STA.CRUZ
15,123473,3927638,INTERCAMBIADOR STA.CRUZ
15,123473,3927639,INTERCAMBIADOR LAGUNA (T)
15,123473,3927640,INTERCAMBIADOR LAGUNA (T)
15,123473,3927641,INTERCAMBIADOR LAGUNA (T)
15,123473,3927642,INTERCAMBIADOR LAGUNA (T)
15,123473,3927643,INTERCAMBIADOR STA.CRUZ
15,123473,3927644,INTERCAMBIADOR STA.CRUZ
15,123473,3927645,INTERCAMBIADOR STA.CRUZ
15,123473,3927646,INTERCAMBIADOR STA.CRUZ
15,123473,3927647,INTERCAMBIADOR LAGUNA (T)
15,123473,3927648,INTERCAMBIADOR LAGUNA (T)
15,123473,3927649,INTERCAMBIADOR LAGUNA (T)
15,123473,3927650,INTERCAMBIADOR STA.CRUZ
15,123473,3927651,INTERCAMBIADOR STA.CRUZ
15,123473,3927652,INTERCAMBIADOR STA.CRUZ
15,123473,3927653,INTERCAMBIADOR LAGUNA (T)
15,123473,3927654,INTERCAMBIADOR LAGUNA (T)
15,123473,3927655,INTERCAMBIADOR LAGUNA (T)
15,123473,3927656,INTERCAMBIADOR LAGUNA (T)
15,123473,3927657,INTERCAMBIADOR STA.CRUZ
15,123473,3927658,INTERCAMBIADOR STA.CRUZ
15,123473,3927659,INTERCAMBIADOR STA.CRUZ
15,123473,3927660,INTERCAMBIADOR STA.CRUZ
15,123473,3927661,INTERCAMBIADOR LAGUNA (T)
15,123473,3927662,INTERCAMBIADOR LAGUNA (T)
15,123473,3927663,INTERCAMBIADOR LAGUNA (T)
15,123473,3927664,INTERCAMBIADOR STA.CRUZ
15,123473,3927665,INTERCAMBIADOR STA.CRUZ
15,123473,3927666,INTERCAMBIADOR STA.CRUZ
15,123473,3927667,INTERCAMBIADOR LAGUNA (T)
15,123473,3927668,INTERCAMBIADOR LAGUNA (T)
15,123473,3927669,INTERCAMBIADOR LAGUNA (T)
15,123473,3927670,INTERCAMBIADOR LAGUNA (T)
15,123473,3927671,INTERCAMBIADOR STA.CRUZ
15,123473,3927672,INTERCAMBIADOR STA.CRUZ
15,123473,3927673,INTERCAMBIADOR STA.CRUZ
15,123473,3927674,INTERCAMBIADOR LAGUNA (T)
15,123473,3927675,INTERCAMBIADOR LAGUNA (T)
15,123473,3927676,INTERCAMBIADOR LAGUNA (T)
15,123473,3927677,INTERCAMBIADOR STA.CRUZ
15,123473,3927678,INTERCAMBIADOR STA.CRUZ
15,123473,3927679,INTERCAMBIADOR STA.CRUZ
15,123473,3927680,INTERCAMBIADOR STA.CRUZ
15,123473,3927681,INTERCAMBIADOR LAGUNA (T)
15,123473,3927682,INTERCAMBIADOR LAGUNA (T)
15,123473,3927683,INTERCAMBIADOR LAGUNA (T)
15,123473,3927684,INTERCAMBIADOR LAGUNA (T)
15,123473,3927685,INTERCAMBIADOR STA.CRUZ
15,123473,3927686,INTERCAMBIADOR STA.CRUZ
15,123473,3927687,INTERCAMBIADOR STA.CRUZ
15,123473,3927688,INTERCAMBIADOR STA.CRUZ
15,123473,3927689,INTERCAMBIADOR LAGUNA (T)
15,123473,3927690,INTERCAMBIADOR LAGUNA (T)
15,123473,3927691,INTERCAMBIADOR LAGUNA (T)
15,123473,3927692,INTERCAMBIADOR STA.CRUZ
15,123473,3927693,INTERCAMBIADOR STA.CRUZ
15,123473,3927694,INTERCAMBIADOR LAGUNA (T)
15,123473,3927695,INTERCAMBIADOR LAGUNA (T)
15,123473,3927696,INTERCAMBIADOR LAGUNA (T)
15,123473,3927697,INTERCAMBIADOR STA.CRUZ
15,123473,3927698,INTERCAMBIADOR STA.CRUZ
15,123473,3927699,INTERCAMBIADOR STA.CRUZ
15,123473,3927700,INTERCAMBIADOR LAGUNA (T)
15,123473,3927701,INTERCAMBIADOR STA.CRUZ
15,123473,3927702,INTERCAMBIADOR LAGUNA (T)
15,123473,3927703,INTERCAMBIADOR LAGUNA (T)
15,123473,3927704,INTERCAMBIADOR LAGUNA (T)
15,123473,3927705,INTERCAMBIADOR LAGUNA (T)
15,123473,3927706,INTERCAMBIADOR STA.CRUZ
15,123473,3927707,INTERCAMBIADOR STA.CRUZ
15,123473,3927708,INTERCAMBIADOR STA.CRUZ
15,123473,3927709,INTERCAMBIADOR STA.CRUZ
15,123473,3927710,INTERCAMBIADOR LAGUNA (T)
